Date,Keywords,Classification,Positive,Negative,Neutral
20160112,gold commodities china copper safehaven,neutral,0.03,0.13,0.84
20160112,gold china exports yuan federal reserve trade balance,neutral,0.01,0.02,0.97
20160112,gold equities china copper safehaven,negative,0.16,0.81,0.03
20160112,gold china trade yuan federal reserve equities,negative,0.18,0.81,0.01
20160112,natural gas prices weather storage demand,negative,0.03,0.97,0.0
20160112,crude oil china exports us inventories oil prices yuan,negative,0.03,0.68,0.28
20160112,crude oil inventories china prices middle east,negative,0.04,0.95,0.0
20160112,oil prices china economy supply glut brent crude us stockpiles,negative,0.02,0.98,0.0
20160112,crude oil oversupply china economy price drop strong dollar,negative,0.01,0.99,0.0
20160112,oil prices china economy supply glut brent crude us stockpiles,negative,0.02,0.98,0.0
20160112,oil prices opec china demand shale producers market selloff,negative,0.03,0.97,0.0
20160112,crude oil prices china inventories middle east,negative,0.07,0.92,0.01
20160113,brent crude oil inventories oversupply demand opec,negative,0.16,0.84,0.0
20160113,copper prices china trade imports commodities global markets,negative,0.26,0.68,0.06
20160113,gold china trade exports federal reserve us dollar,negative,0.12,0.69,0.18
20160113,gold china trade data copper exports,positive,0.81,0.16,0.03
20160113,gold copper china trade surplus commodities,negative,0.05,0.94,0.0
20160113,gold china exports fed rates safehaven economic growth,negative,0.13,0.87,0.0
20160113,natural gas storage demand weather nymex,neutral,0.3,0.27,0.44
20160113,crude oil inventories opec prices oversupply,negative,0.03,0.97,0.0
20160113,oil prices us inventories gasoline stocks china demand global oversupply,positive,0.55,0.44,0.0
20160113,oil prices crude futures chinese imports us inventories brent crude,negative,0.03,0.94,0.03
20160113,crude oil inventories wti opec gasoline,negative,0.01,0.98,0.0
20160113,oil prices us inventories china demand brent crude global oversupply,negative,0.01,0.99,0.0
20160114,brent crude iran oil prices global supply economic growth,positive,0.85,0.14,0.0
20160114,brent oil supply glut iran crude prices opec,negative,0.14,0.86,0.0
20160114,brent crude oversupply iran oil prices us production,negative,0.05,0.95,0.0
20160114,copper prices global economy china demand metals trading gold futures,negative,0.2,0.78,0.02
20160114,crude oil wti brent inventories geopolitical,negative,0.02,0.97,0.01
20160114,gold us jobless claims dollar china equities federal reserve,negative,0.03,0.97,0.0
20160114,gold federal reserve china stocks jobless claims interest rates,negative,0.33,0.67,0.0
20160114,gold us dollar jobless claims stock markets copper,negative,0.3,0.69,0.0
20160114,gold stock markets oil prices copper economic outlook,negative,0.09,0.9,0.01
20160114,natural gas storage prices weather futures,negative,0.04,0.95,0.01
20160114,crude oil rig count inventories brent futures geopolitical risks,positive,0.93,0.06,0.0
20160114,oil prices iran oversupply global demand sanctions,negative,0.02,0.98,0.0
20160115,crude oil iran sanctions oversupply prices,negative,0.04,0.96,0.0
20160115,gold oil prices us dollar safehaven jobless claims,negative,0.05,0.94,0.0
20160115,gold us economy china federal reserve retail sales,negative,0.15,0.84,0.01
20160115,oil prices supply glut iran exports sanctions crude production,negative,0.08,0.91,0.01
20160115,oil prices global stocks safehaven assets supply glut market volatility,negative,0.02,0.98,0.0
20160115,oil prices iran crude supply sanctions brent,positive,0.79,0.19,0.02
20160116,iraq oil exports basra tribal clashes south oil co,positive,0.94,0.04,0.01
20160117,oil prices supply glut iran exports brent crude china economy,negative,0.03,0.97,0.0
20160117,gold stock markets us economy china commodities,negative,0.05,0.94,0.01
20160117,gold federal reserve economic data stock markets interest rates,negative,0.1,0.75,0.16
20160117,natural gas futures weather storage prices,negative,0.04,0.96,0.0
20160117,crude oil iran oversupply brent china,negative,0.02,0.98,0.0
20160117,crude oil oversupply iran exports china economy brent prices,negative,0.03,0.97,0.0
20160118,brent oil iran exports global glut crude prices opec,negative,0.1,0.9,0.0
20160118,copper china global economy commodities metals,negative,0.06,0.93,0.01
20160118,gold us dollar oil prices china economy copper,negative,0.05,0.94,0.01
20160118,gold china gdp industrial production copper,positive,0.98,0.01,0.0
20160118,gold oil prices global growth china economy copper,positive,0.53,0.46,0.01
20160118,gold china gdp commodities copper market trends,negative,0.07,0.92,0.0
20160118,iran sanctions oil exports foreign investment nuclear deal,negative,0.01,0.99,0.0
20160118,natural gas futures storage weather demand,negative,0.05,0.87,0.08
20160118,crude oil china gdp iran sanctions global glut brent futures,negative,0.05,0.95,0.0
20160118,crude oil china gdp iran exports supply glut brent futures,negative,0.08,0.92,0.0
20160118,crude oil china gdp iran sanctions global glut brent futures,negative,0.05,0.95,0.0
20160118,oil prices iran exports sanctions opec oversupply,negative,0.06,0.94,0.0
20160118,oil prices iran sanctions exports oversupply,negative,0.08,0.92,0.0
20160118,brent oil iran exports global glut crude prices opec,negative,0.1,0.9,0.0
20160118,oil prices iran supply glut brent crude sanctions,negative,0.03,0.96,0.0
20160119,copper china economic growth industrial production metals,negative,0.06,0.94,0.0
20160119,gold china gdp yuan commodities imf,negative,0.2,0.79,0.01
20160119,gold china equities copper stimulus,positive,0.84,0.15,0.0
20160119,gold china gdp deflation yuan imf forecast,negative,0.03,0.97,0.0
20160119,gold dollar china copper equities,negative,0.17,0.83,0.0
20160119,oil prices oversupply iea iran opec,negative,0.01,0.98,0.0
20160119,crude oil iran exports oil prices global supply market demand,negative,0.09,0.91,0.0
20160119,crude oil iran supply glut prices sanctions,negative,0.03,0.97,0.0
20160119,oil prices oversupply iea opec demand,negative,0.02,0.98,0.0
20160119,oil prices china growth stimulus supply glut iran exports,negative,0.43,0.57,0.0
20160119,oil prices chinese demand brent crude iea oversupply,negative,0.02,0.98,0.0
20160119,oil prices china demand oversupply iea iran,negative,0.02,0.98,0.0
20160119,crude oil iran global markets china demand oil prices,negative,0.05,0.95,0.0
20160119,natural gas futures storage weather demand,negative,0.05,0.87,0.08
20160119,oil prices supply glut iran exports china economy brent crude,negative,0.02,0.98,0.0
20160120,gold inflation federal reserve interest rates commodities,negative,0.14,0.84,0.03
20160120,gold equities oil prices global growth federal reserve,negative,0.21,0.77,0.02
20160120,gold inflation federal reserve cpi interest rates,negative,0.24,0.75,0.01
20160120,gold federal reserve inflation rate hike commodities,positive,0.97,0.03,0.0
20160120,natural gas winter storm us inventories weather forecasts energy prices,negative,0.07,0.9,0.03
20160120,crude oil stockpiles oversupply iran exports saudi arabia,positive,0.93,0.07,0.0
20160120,crude oil oversupply iran exports iea warning saudi arabia,negative,0.37,0.63,0.0
20160120,crude oil stockpiles oversupply iran exports saudi arabia,positive,0.93,0.07,0.0
20160120,crude oil oversupply asian markets iran production stockpiles,positive,0.98,0.02,0.0
20160120,crude oil oversupply iea futures inventory,negative,0.02,0.98,0.0
20160120,oil prices supply glut iran exports brent crude us shale,negative,0.04,0.96,0.0
20160120,crude oil oversupply iran exports iea saudi arabia,positive,0.9,0.1,0.0
20160120,oil prices global economy oversupply imf forecast iran exports,negative,0.03,0.97,0.0
20160121,gold ecb us economy interest rates copper,negative,0.09,0.76,0.15
20160121,gold dollar ecb monetary policy commodities,negative,0.05,0.76,0.19
20160121,gold ecb monetary policy global economy dollar,negative,0.04,0.87,0.09
20160121,gold dollar ecb euro metals,negative,0.14,0.86,0.0
20160121,natural gas storage futures weather prices,negative,0.06,0.93,0.01
20160121,crude oil prices inventory ecb supply,negative,0.02,0.69,0.29
20160121,oil prices oversupply china economy crude futures brent,negative,0.04,0.96,0.0
20160121,oil prices crude glut european central bank market rebound inventories,positive,0.83,0.17,0.0
20160121,crude oil ecb inventories wti global equities,negative,0.01,0.99,0.0
20160121,oil prices crude inventories supply glut brent us exports,negative,0.03,0.97,0.0
20160121,oil prices crude inventories supply glut brent us shale,negative,0.03,0.97,0.0
20160122,crude oil saudi arabia futures short covering price rebound,positive,0.91,0.09,0.0
20160122,gold dollar ecb futures metals,negative,0.14,0.83,0.03
20160122,gold central banks stimulus dollar inflation,positive,0.84,0.15,0.0
20160122,crude oil inventory wti brent ecb,negative,0.04,0.93,0.03
20160122,oil prices crude futures cold weather short positions inventories,negative,0.09,0.9,0.01
20160122,oil prices oversupply short positions cold weather financial markets,negative,0.01,0.98,0.0
20160122,oil prices cold weather demand us crude brent,negative,0.02,0.97,0.0
20160122,oil prices market volatility technical analysis supply glut recovery,negative,0.02,0.98,0.0
20160123,opec oil prices iran venezuela production cuts,positive,0.98,0.02,0.0
20160124,oil prices crude oversupply central bank stimulus iran exports global economy,negative,0.05,0.95,0.0
20160124,gold equities dollar central banks copper,negative,0.03,0.96,0.01
20160124,gold monetary policy federal reserve global markets precious metals,negative,0.06,0.91,0.02
20160124,natural gas futures storage snowstorm energy,negative,0.33,0.66,0.01
20160124,crude oil oversupply iran exports fed policy china economy,positive,0.76,0.23,0.0
20160125,gold futures federal reserve interest rates global markets copper,negative,0.17,0.81,0.01
20160125,gold oil prices federal reserve equities economic growth,positive,0.97,0.03,0.0
20160125,gold federal reserve interest rates copper china,negative,0.16,0.47,0.36
20160125,natural gas futures weather storage prices,negative,0.04,0.96,0.0
20160125,crude oil oversupply brent iran exports global demand,negative,0.03,0.97,0.0
20160125,crude oil oversupply iran brent global demand,negative,0.01,0.99,0.0
20160125,crude oil oversupply iran exports brent futures global demand,negative,0.05,0.95,0.0
20160125,crude oil oversupply iran exports fed policy china slowdown,positive,0.89,0.11,0.0
20160125,oil prices iraq production oversupply opec brent crude,negative,0.1,0.9,0.0
20160125,oil futures supply glut brent crude iran exports global demand,negative,0.05,0.95,0.0
20160125,oil futures brent crude oversupply china slowdown iran exports,negative,0.1,0.89,0.0
20160125,oil prices iraq output market glut volatility crude futures,negative,0.05,0.95,0.0
20160125,crude oil oversupply opec saudi aramco prices,negative,0.02,0.98,0.0
20160125,opec oil prices stock overhang nonopec production cuts,positive,0.85,0.15,0.0
20160125,opec oil prices stock overhang nonopec investment,negative,0.05,0.95,0.0
20160126,opec crude oil production cuts prices demand,positive,1.0,0.0,0.0
20160126,gold equities oil prices federal reserve economic growth,positive,0.91,0.09,0.0
20160126,gold federal reserve china equities safehaven,negative,0.23,0.72,0.05
20160126,gold federal reserve interest rates safe market turmoil,negative,0.18,0.56,0.27
20160126,gold china stocks global recession federal reserve safehaven,negative,0.07,0.92,0.0
20160126,natural gas futures weather storage demand,negative,0.03,0.97,0.0
20160126,crude oil opec stockpiles prices production,negative,0.02,0.97,0.02
20160126,crude oil opec production cuts us stockpiles oil prices,positive,0.99,0.01,0.0
20160126,oil prices opec oversupply china iran,negative,0.02,0.98,0.0
20160126,oil prices supply glut china slowdown iran exports brent crude,negative,0.04,0.96,0.0
20160126,opec oil prices supply glut russia crude inventories,negative,0.21,0.79,0.0
20160126,oil prices opec output cuts capital spending crude inventory,negative,0.35,0.65,0.0
20160127,crude oil inventories wti brent opec,negative,0.01,0.99,0.0
20160127,iran oil exports sanctions insurance europe,positive,0.76,0.2,0.03
20160127,gold federal reserve interest rates market turmoil copper,negative,0.07,0.93,0.0
20160127,gold futures federal reserve interest rates global markets copper,negative,0.17,0.81,0.01
20160127,gold federal reserve interest rates china commodities,negative,0.09,0.64,0.28
20160127,federal reserve gold prices interest rates inflation china,negative,0.11,0.88,0.01
20160127,opec iraq oil prices production cuts venezuela,positive,0.99,0.01,0.0
20160127,natural gas storage demand weather futures,negative,0.11,0.88,0.01
20160127,crude oil opec stockpiles prices production,negative,0.02,0.97,0.02
20160127,crude oil inventories opec prices gasoline,negative,0.05,0.93,0.02
20160127,oil futures us inventories opec china crude prices,negative,0.05,0.95,0.0
20160127,oil prices russia opec crude inventory heating oil,negative,0.04,0.92,0.04
20160127,russia opec oil prices output cuts saudi arabia,positive,0.99,0.0,0.0
20160127,shale oil capital spending production cuts oil prices drilling rigs,positive,0.98,0.02,0.0
20160127,oil prices crude inventories opec supply glut iran exports,negative,0.43,0.57,0.0
20160127,oil prices crude inventories opec global oversupply iran exports,negative,0.05,0.95,0.0
20160128,crude oil opec production cuts brent inventories,positive,1.0,0.0,0.0
20160128,gold federal reserve interest rates copper global markets,positive,0.51,0.44,0.05
20160128,gold federal reserve interest rates inflation commodities,negative,0.06,0.93,0.01
20160128,gold federal reserve interest rates us economy dollar index,negative,0.11,0.89,0.0
20160128,gold durable goods federal reserve rate hike economic uncertainty,negative,0.15,0.85,0.0
20160128,oil prices iran opec saudi arabia total,negative,0.1,0.66,0.24
20160128,natural gas storage futures weather demand,negative,0.05,0.93,0.02
20160128,crude oil opec production cuts brent inventories,positive,1.0,0.0,0.0
20160128,crude oil opec production cuts brent inventories,positive,1.0,0.0,0.0
20160128,crude oil inventories opec prices rig count,negative,0.02,0.93,0.05
20160128,oil prices opec russia production cuts crude inventories,positive,0.99,0.01,0.0
20160128,oil prices opec russia supply glut production cuts,positive,0.97,0.02,0.0
20160128,oil prices opec production cuts russia crude inventories,positive,0.99,0.01,0.0
20160128,oil prices opec russia supply glut iran,negative,0.02,0.98,0.0
20160128,oil production saudi arabia russia opec crude prices,negative,0.36,0.61,0.02
20160128,opec russia oil market output coordination prices,positive,0.95,0.01,0.04
20160128,iran opec oil exports russia supply glut,positive,0.9,0.09,0.01
20160129,crude oil opec russia production cuts prices,positive,0.99,0.01,0.0
20160129,gold dollar fed futures metals,negative,0.15,0.74,0.12
20160129,gold bank japan negative rates dollar inflation,negative,0.02,0.98,0.0
20160129,oil prices opec russia production cuts market glut,positive,0.98,0.02,0.0
20160129,brent crude oil prices opec saudi arabia production cuts,positive,0.99,0.01,0.0
20160131,oil prices opec production cuts supply glut brent crude,positive,0.94,0.06,0.0
20160131,gold federal reserve gdp interest rates copper,negative,0.29,0.64,0.07
20160131,gold prices manufacturing pmi federal reserve interest rates us economy,negative,0.02,0.97,0.01
20160131,gold china pmi manufacturing federal reserve interest rates,negative,0.01,0.98,0.0
20160131,natural gas futures weather storage prices,negative,0.04,0.96,0.0
20160131,crude oil manufacturing pmi opec supply glut brent,positive,0.94,0.06,0.0
20160131,crude oil china pmi brent opec oversupply,negative,0.01,0.99,0.0
20160131,crude oil china pmi manufacturing brent oversupply,negative,0.03,0.97,0.0
20160201,copper china manufacturing gold interest rates,negative,0.2,0.44,0.35
20160201,gold interest rates manufacturing data china copper,negative,0.15,0.77,0.09
20160201,gold manufacturing federal reserve interest rates china,negative,0.1,0.75,0.15
20160201,gold manufacturing federal reserve interest rates china,negative,0.1,0.75,0.15
20160201,gold federal reserve interest rates china economy copper,negative,0.09,0.84,0.07
20160201,coal natural gas power generation electricity emissions,positive,0.95,0.04,0.01
20160201,natural gas futures weather storage prices,negative,0.04,0.96,0.0
20160201,crude oil opec china demand output cuts brent,positive,0.95,0.05,0.0
20160201,crude oil opec china demand oil prices production cuts,positive,0.98,0.02,0.0
20160201,crude oil opec supply cuts china demand oil prices,positive,0.94,0.06,0.0
20160201,oil prices china economy opec supply glut manufacturing,negative,0.03,0.97,0.0
20160201,oil prices china manufacturing opec supply,negative,0.07,0.92,0.0
20160201,oil prices supply glut opec china economy brent crude,negative,0.02,0.98,0.0
20160201,oil prices opec russia oversupply china,negative,0.02,0.98,0.0
20160201,crude oil opec china supply cuts prices,positive,0.94,0.06,0.0
20160202,opec russia oil prices production cuts saudi arabia,positive,0.99,0.01,0.0
20160202,gold federal reserve interest rates manufacturing data global economy,negative,0.04,0.95,0.01
20160202,gold federal reserve interest rates inflation china,negative,0.07,0.92,0.01
20160202,gold federal reserve interest rates inflation china,negative,0.07,0.92,0.01
20160202,gold oil prices equities federal reserve china,negative,0.04,0.96,0.0
20160202,natural gas futures warm weather storage energy,negative,0.33,0.58,0.09
20160202,opec russia oil prices supply cuts market talks,negative,0.43,0.57,0.0
20160202,crude oil stockpiles iran exports wti brent,negative,0.01,0.98,0.0
20160202,crude oil stockpiles iran exports wti brent,negative,0.01,0.98,0.0
20160202,crude oil stockpiles iran exports wti brent,negative,0.01,0.98,0.0
20160202,oil prices opec russia output cuts supply,positive,0.99,0.01,0.0
20160202,oil prices oversupply brent crude opec china slowdown,negative,0.01,0.99,0.0
20160202,oil prices iran exports global surplus brent crude opec,negative,0.05,0.94,0.0
20160202,oil prices opec russia supply glut inventories,negative,0.1,0.9,0.0
20160202,crude oil iran exports oil prices oversupply opec,negative,0.03,0.97,0.0
20160203,gold jobs report federal reserve inflation market outlook,negative,0.17,0.83,0.0
20160203,gold interest rates us jobs global economy copper,negative,0.09,0.91,0.0
20160203,gold futures interest rates us economy dollar index safe,negative,0.18,0.8,0.02
20160203,natural gas futures storage demand weather,negative,0.07,0.92,0.01
20160203,crude oil opec inventories production prices,positive,0.59,0.4,0.01
20160203,crude oil opec inventory production prices,positive,0.96,0.03,0.0
20160203,oil prices crude stocks oversupply brent west texas intermediate,positive,0.99,0.01,0.0
20160203,oil prices russia opec inventories crude,negative,0.03,0.96,0.02
20160203,sorghum china exports grain prices australia,negative,0.22,0.73,0.05
20160203,crude oil opec dollar inventories production,neutral,0.19,0.26,0.55
20160203,oil futures crude inventories oversupply brent iran exports,positive,0.93,0.07,0.0
20160203,oil inventories crude prices oversupply demand iran exports,negative,0.02,0.98,0.0
20160204,crude oil opec oversupply production cuts saudi arabia,positive,1.0,0.0,0.0
20160204,gold federal reserve interest rates dollar safe,neutral,0.02,0.09,0.89
20160204,gold jobs report federal reserve inflation factory orders,negative,0.31,0.68,0.0
20160204,gold federal reserve interest rates us economy safe,neutral,0.07,0.41,0.52
20160204,gold dollar jobs report federal reserve factory orders,positive,0.58,0.42,0.01
20160204,natural gas futures storage mild winter demand,negative,0.03,0.93,0.03
20160204,crude oil opec production cuts saudi arabia market volatility,positive,1.0,0.0,0.0
20160204,crude oil opec production cuts volatility saudi arabia,positive,1.0,0.0,0.0
20160204,oil tax transportation clean energy obama congress,positive,0.9,0.06,0.04
20160204,crude oil output cuts oversupply price volatility inventories,positive,1.0,0.0,0.0
20160204,oil prices supply glut crude inventories brent crude demand,negative,0.01,0.99,0.0
20160204,oil prices opec russia supply glut us dollar,negative,0.02,0.98,0.0
20160204,oil prices opec russia oversupply us dollar,negative,0.02,0.98,0.0
20160205,crude oil volatility inventories lunar new year global economy,negative,0.02,0.98,0.0
20160205,crude oil futures oversupply inventories volatility,negative,0.48,0.52,0.0
20160205,gold jobs report federal reserve interest rates dollar,negative,0.31,0.69,0.01
20160205,gold dollar nonfarm payrolls futures metals,negative,0.05,0.94,0.0
20160205,crude oil wti brent supply glut volatility,negative,0.02,0.98,0.0
20160205,oil prices us dollar opec supply glut iran exports,negative,0.26,0.74,0.0
20160207,oil prices oversupply dollar strength crude inventories opec,negative,0.02,0.98,0.0
20160207,gold jobs report wage growth federal reserve inflation,positive,0.93,0.07,0.0
20160207,gold federal reserve interest rates china markets safehaven,neutral,0.1,0.12,0.79
20160207,crude oil output cuts opec inventories dollar,positive,0.99,0.0,0.0
20160207,crude oil output cuts opec inventories dollar,positive,0.99,0.0,0.0
20160207,shale oil budget cuts oil prices production decline capital expenditure,positive,0.9,0.1,0.0
20160207,opec oil prices saudi arabia venezuela cooperation,negative,0.12,0.87,0.01
20160208,gold prices federal reserve banking stocks oil prices china reserves,negative,0.09,0.9,0.01
20160208,gold equities oil prices safehaven unemployment,negative,0.2,0.78,0.02
20160208,gold banking stocks safehaven oil prices dollar index,negative,0.08,0.92,0.0
20160208,gold federal reserve interest rates us jobs safehaven,neutral,0.07,0.19,0.74
20160208,natural gas futures weather storage demand,negative,0.03,0.97,0.0
20160208,crude oil opec production cuts iran exports oil prices,positive,1.0,0.0,0.0
20160208,crude oil opec production cuts iran exports gas prices,positive,1.0,0.0,0.0
20160208,oil prices saudi arabia venezuela opec market stabilization,negative,0.19,0.79,0.03
20160208,crude oil supply overhang opec brent futures iran,negative,0.01,0.99,0.0
20160208,crude oil opec saudi arabia venezuela iran,positive,0.58,0.39,0.03
20160208,oil prices opec supply glut saudi arabia crude production,positive,0.96,0.04,0.0
20160209,crude oil iea supply glut oil prices inventory,negative,0.03,0.97,0.0
20160209,gold federal reserve janet yellen interest rates safehaven,neutral,0.02,0.02,0.96
20160209,gold equities safehaven interest rates federal reserve,negative,0.02,0.55,0.43
20160209,gold federal reserve interest rates janet yellen safehaven,negative,0.15,0.54,0.3
20160209,gold safe interest rates federal reserve equity markets,neutral,0.06,0.11,0.83
20160209,oil prices iea stockpiles supply glut opec,negative,0.02,0.98,0.0
20160209,natural gas futures weather storage demand,negative,0.03,0.97,0.0
20160209,crude oil inventories iea oversupply prices,negative,0.03,0.97,0.0
20160209,crude oil stockpiles iea oversupply prices,negative,0.38,0.62,0.0
20160209,oil prices iea crude surplus opec production,negative,0.2,0.6,0.2
20160209,oil prices us dollar global markets opec oversupply,negative,0.02,0.98,0.0
20160210,oil prices energy insurance premium rates project cancellations insurer profits,negative,0.05,0.95,0.0
20160210,gold federal reserve interest rates janet yellen us dollar,negative,0.05,0.88,0.07
20160210,gold federal reserve interest rates safe market volatility,negative,0.3,0.44,0.27
20160210,gold federal reserve interest rates janet yellen inflation,negative,0.04,0.93,0.03
20160210,gold federal reserve interest rates janet yellen economic outlook,negative,0.07,0.85,0.08
20160210,natural gas futures storage weather demand,negative,0.05,0.87,0.08
20160210,nobel upstream shell maclure oilfield north sea maersk oil,negative,0.02,0.98,0.0
20160210,crude oil inventories supply glut production cuts brent,positive,0.99,0.01,0.0
20160210,crude oil inventories opec production prices,negative,0.24,0.76,0.01
20160210,crude oil iran saudi arabia prices opec,negative,0.07,0.93,0.0
20160210,oil prices opec supply glut iran crude inventories,negative,0.45,0.54,0.0
20160210,crude oil inventories output cuts brent dollar,positive,1.0,0.0,0.0
20160210,oil prices crude inventories supply glut wti brent,negative,0.02,0.98,0.0
20160210,oil futures crude inventories wti brent oversupply,negative,0.04,0.96,0.0
20160211,gold prices federal reserve safe oil slump global markets,negative,0.01,0.99,0.0
20160211,gold futures federal reserve interest rates safe market volatility,negative,0.28,0.7,0.02
20160211,gold interest rates european banks safehaven negative rates,negative,0.02,0.97,0.01
20160211,gold european banks safehaven negative rates market volatility,negative,0.02,0.98,0.0
20160211,gold safe financial instability us treasury yields etfs,negative,0.02,0.97,0.0
20160211,natural gas futures storage weather demand,negative,0.05,0.87,0.08
20160211,crude oil opec production cuts russia prices,positive,1.0,0.0,0.0
20160211,crude oil opec production cuts russia prices,positive,1.0,0.0,0.0
20160211,oil prices crude inventories cushing goldman sachs demand outlook,negative,0.02,0.98,0.0
20160211,oil prices supply glut inventories brent crude global growth,negative,0.15,0.85,0.0
20160211,crude oil opec russia production cuts prices,positive,0.99,0.01,0.0
20160211,oil prices crude inventories wti brent oversupply,negative,0.02,0.98,0.0
20160212,opec crude oil production cuts price rebound us futures,positive,1.0,0.0,0.0
20160212,gold banking stocks interest rates safehaven federal reserve,negative,0.06,0.91,0.04
20160212,gold safehaven global economy oil prices federal reserve,negative,0.02,0.98,0.0
20160212,oil prices opec production cuts oversupply crude futures,positive,0.99,0.01,0.0
20160212,oil prices opec production cut uae brent crude,positive,0.93,0.07,0.0
20160214,oil prices opec production cuts crude oversupply market outlook,positive,0.98,0.02,0.0
20160214,gold federal reserve equities safe economic data,neutral,0.03,0.02,0.95
20160214,gold prices japan gdp china trade copper futures federal reserve,negative,0.07,0.9,0.04
20160214,gold japan gdp copper federal reserve china trade,negative,0.17,0.81,0.02
20160214,iran mining sanctions investment metals,negative,0.01,0.99,0.0
20160214,natural gas futures storage weather demand,negative,0.05,0.87,0.08
20160214,crude oil japan gdp china trade opec market oversupply,negative,0.02,0.98,0.0
20160214,crude oil japan gdp china trade opec oversupply,negative,0.02,0.98,0.0
20160214,crude oil demand opec china trade oversupply,negative,0.08,0.91,0.0
20160214,opec oil prices production cuts saudi arabia supply glut,positive,0.99,0.01,0.0
20160214,fertilizer indonesia corruption small farmers plantations,positive,0.87,0.12,0.0
20160215,general electric iran oil exports sanctions investment,positive,0.56,0.03,0.41
20160215,gold federal reserve interest rates inflation safe,negative,0.06,0.66,0.28
20160215,gold futures safehaven federal reserve china trade copper prices,neutral,0.16,0.24,0.61
20160215,gold investors federal reserve interest rates copper,neutral,0.13,0.25,0.62
20160215,natural gas futures weather storage demand,negative,0.03,0.97,0.0
20160215,crude oil opec production cuts prices iran,positive,1.0,0.0,0.0
20160215,crude oil opec production cuts russia iran,positive,1.0,0.0,0.0
20160215,crude oil opec production cuts russia iran,positive,1.0,0.0,0.0
20160215,oil prices opec production cuts russia iran,positive,0.99,0.01,0.0
20160215,oil prices opec production cuts supply glut brent crude,positive,0.94,0.06,0.0
20160215,oil prices russia iransaudi relations global supply china demand,negative,0.06,0.94,0.0
20160215,oil prices iran saudi arabia russia opec,negative,0.05,0.94,0.0
20160215,oil prices opec supply glut brent crude production cuts,positive,0.99,0.01,0.0
20160216,crude oil opec iran production freeze oil prices,positive,0.64,0.02,0.33
20160216,gold futures federal reserve safe market volatility,negative,0.33,0.66,0.01
20160216,gold federal reserve interest rates ecb inflation,negative,0.09,0.9,0.01
20160216,gold futures safehaven equity markets federal reserve interest rates,negative,0.12,0.72,0.16
20160216,gold federal reserve ecb interest rates commodities,negative,0.08,0.79,0.13
20160216,gold federal reserve interest rates ecb commodities,negative,0.06,0.83,0.11
20160216,gold federal reserve interest rates ecb commodities,negative,0.06,0.83,0.11
20160216,oil producers bankruptcy deloitte crude prices debt,negative,0.06,0.94,0.0
20160216,crude oil output freeze iran stockpiles opec,positive,0.99,0.0,0.01
20160216,crude oil output freeze iran inventories opec,positive,0.99,0.0,0.01
20160216,oil prices output freeze opec saudi arabia crude production,positive,0.88,0.0,0.11
20160216,oil prices production freeze saudi arabia russia opec,positive,0.97,0.01,0.03
20160216,oil prices output freeze opec saudi arabia crude production,positive,0.88,0.0,0.11
20160216,oil prices saudi arabia russia production cuts crude glut,positive,0.98,0.02,0.0
20160216,oil freeze saudi arabia russia iran crude prices,negative,0.02,0.98,0.0
20160216,oil production opec iran saudi arabia russia,positive,0.62,0.36,0.02
20160216,natural gas futures storage weather demand,negative,0.05,0.87,0.08
20160217,gold federal reserve interest rates china inflation commodities,negative,0.17,0.82,0.01
20160217,gold federal reserve interest rates safe metals,neutral,0.01,0.01,0.98
20160217,gold futures federal reserve interest rates economic outlook housing data,negative,0.1,0.89,0.01
20160217,gold federal reserve interest rates us dollar commodities,negative,0.05,0.94,0.01
20160217,oil prices oversupply job losses shale production economic impact,negative,0.07,0.93,0.0
20160217,iran oil production opec sanctions market share,positive,0.81,0.18,0.01
20160217,iran opec oil production sanctions output freeze,positive,0.93,0.0,0.07
20160217,crude oil iran production freeze us stockpiles opec,positive,0.99,0.0,0.01
20160217,crude oil stockpiles iran production freeze opec,positive,0.99,0.0,0.01
20160217,crude oil stockpiles iran opec prices,negative,0.05,0.94,0.0
20160217,oil prices production freeze brent crude opec iran,positive,0.63,0.07,0.3
20160217,oil prices opec iran production freeze crude inventory,positive,0.69,0.18,0.13
20160217,oil prices opec iran production freeze crude oversupply,positive,0.39,0.23,0.38
20160217,crude oil iran production freeze opec prices,positive,0.95,0.01,0.04
20160217,natural gas futures storage demand weather,negative,0.07,0.92,0.01
20160218,gold federal reserve interest rates inflation commodities,negative,0.06,0.93,0.01
20160218,gold federal reserve interest rates metals china,neutral,0.02,0.18,0.8
20160218,gold federal reserve interest rates inflation commodities,negative,0.06,0.93,0.01
20160218,gold futures jobless claims federal reserve manufacturing china inflation,negative,0.24,0.76,0.0
20160218,natural gas futures storage weather demand,negative,0.05,0.87,0.08
20160218,crude oil inventories production freeze iran prices,neutral,0.17,0.0,0.83
20160218,crude oil inventories production freeze iran rig count,neutral,0.34,0.0,0.66
20160218,oil prices iran output freeze us inventories opec,negative,0.21,0.79,0.01
20160218,oil prices output cap us inventories opec brent crude,negative,0.05,0.95,0.0
20160218,oil prices iran production cap russia saudi arabia,negative,0.33,0.65,0.02
20160218,crude oil inventories production freeze iran wti,positive,0.74,0.0,0.26
20160218,crude oil inventories wti brent production,negative,0.01,0.99,0.0
20160218,oil futures crude inventories opec production freeze brent,positive,0.9,0.01,0.09
